Positive Word,Weight,,Negative Word,Weight
snapdragon,5.00,,unprofessionalism,1.17
acupuncture,4.94,,voided,1.30
shavery,4.92,,argumentative,1.33
physique,4.91,,unethical,1.37
euphoric,4.79,,inexcusable,1.47
choir,4.79,,disrespectful,1.47
infectious,4.78,,livid,1.49
nationally,4.77,,incompetent,1.50
boudoir,4.77,,gall,1.50
unrivaled,4.75,,unconcerned,1.50
feline,4.75,,disgusted,1.51
effortless,4.74,,dispute,1.51
limu,4.73,,sham,1.52
flores,4.73,,violently,1.53
henna,4.73,,negligence,1.53
miraculous,4.73,,undesirable,1.54
masterful,4.72,,disturbingly,1.55
snowflake,4.71,,uneatable,1.56
waxer,4.70,,discrimination,1.56
colorist,4.70,,sarcastically,1.56
perfectionist,4.69,,unprofessional,1.56
hydration,4.69,,fraud,1.57
passionate,4.68,,refund,1.58
soulful,4.67,,reimbursement,1.58
wondrous,4.67,,unmelted,1.58
dedication,4.67,,disgrace,1.61
immaculately,4.64,,incompetence,1.62
knockout,4.64,,dishwater,1.62
airbrush,4.64,,scam,1.62
teasing,4.64,,feces,1.62
emulsion,4.64,,furious,1.63
sublime,4.63,,carelessness,1.64
transcendent,4.62,,fuming,1.64
timeless,4.62,,uncalled,1.67
perfecto,4.62,,scum,1.67
punctual,4.62,,unhelpful,1.67
amaze,4.62,,rudely,1.69
pioneer,4.62,,negligent,1.69
thoroughness,4.62,,compensation,1.69
masterpiece,4.61,,oversold,1.69
prefect,4.61,,authorization,1.69
effortlessly,4.61,,accused,1.70
meticulous,4.61,,worst,1.70
luxuriously,4.60,,unsympathetic,1.70
cheered,4.60,,unprofessionally,1.70
transforming,4.60,,disgraceful,1.70
marvelously,4.60,,correspondence,1.70
obedience,4.60,,unacceptable,1.71
metropolis,4.60,,mortified,1.72
fiddle,4.60,,liar,1.72
approachable,4.59,,twiddling,1.73
charisma,4.58,,rancid,1.73
credible,4.58,,apathy,1.73
oversell,4.58,,riddance,1.73
escalade,4.58,,deceitful,1.73
compassionate,4.58,,disrespect,1.75
flawless,4.58,,unapologetic,1.76
veterinary,4.58,,appalling,1.77
kinky,4.57,,unclean,1.77
unparalleled,4.57,,retrain,1.77
seamless,4.57,,shameful,1.77
unforgettable,4.57,,supervisor,1.78
gem,4.57,,insult,1.78
ecstasy,4.57,,unusable,1.79
dedicate,4.56,,lied,1.79
worship,4.56,,cuss,1.80
orgasmic,4.56,,marijuana,1.80
